,wkr,wkrname,bula,year,Flooded,PostPeriod,spd_e_vs,spd_z_vs,cdu_e_vs,cdu_z_vs,pds_e_vs,pds_z_vs,del_spd_z_vs,Lagspd_z_vs,popdensity,shpop_o60,shmanu
1,1,Flensburg - Schleswig,901,1998,0,0,50.15164566,47.18673706,42.37702942,35.36331558,1.022668123,1.325985551,NA,NA,0.130887076,21.51689952,30.62999099
2,1,Flensburg - Schleswig,901,2002,0,1,48.66908264,44.01642227,41.33802795,36.41896057,1.133820176,1.291110873,-3.170314789,47.18673706,0.132591575,23.29999924,27.70000076
3,2,Nordfriesland - Dithmarschen-Nord,901,1998,0,0,46.33581161,43.52507401,45.4370575,39.1748085,1.049719453,1.115254641,NA,NA,0.079719231,22.16783449,25.26164989
4,2,Nordfriesland - Dithmarschen-Nord,901,2002,0,1,44.06388855,42.4104805,44.29577255,39.98152542,1.115275502,1.110559106,-1.114593506,43.52507401,0.081506304,24,21.89999962
5,3,Steinburg - Dithmarschen-SŸd,901,1998,0,0,47.93717575,44.64988327,44.7516098,37.8718071,1.218178272,1.203356504,NA,NA,0.117677391,21.87329196,42.79988287
6,3,Steinburg - Dithmarschen-SŸd,901,2002,0,1,45.78980637,41.21572113,43.00174332,38.54606628,1.271558881,1.275381565,-3.43416214,44.64988327,0.111019231,24.10000038,36.90000153
7,4,Rendsburg-Eckernfšrde,901,1998,0,0,49.19561768,44.94543076,42.02790451,36.52769089,0.94943428,1.255362034,NA,NA,0.117552049,20.78873145,33.95209944
8,4,Rendsburg-Eckernfšrde,901,2002,0,1,48.09201813,42.6204567,40.44544983,37.32159042,1.022679567,1.166042089,-2.32497406,44.94543076,0.111841649,22.60000038,28.70000076
9,5,Kiel,901,1998,0,0,53.93574142,48.29032516,33.53344727,28.98202896,1.638629436,2.321468115,NA,NA,1.709133267,21.24791061,24.69705803
10,5,Kiel,901,2002,0,1,53.70474625,44.27720642,30.79509735,27.94138145,2.009757519,2.151625156,-4.013118744,48.29032516,1.779269934,22.60000038,21.39999962
11,6,Plšn - NeumŸnster,901,1998,0,0,50.76749802,47.30971146,40.50513458,35.36581802,0.052981097,1.474992394,NA,NA,0.177056789,21.60209823,34.96280887
12,6,Plšn - NeumŸnster,901,2002,0,1,47.90839767,44.55122375,38.78618622,35.80832291,1.027926922,1.22125864,-2.758487701,47.30971146,0.168100789,23.79999924,28.79999924
13,7,Pinneberg,901,1998,0,0,47.87593842,44.91405106,42.04448318,35.42180252,1.201317906,1.47411716,NA,NA,0.41754815,20.91702965,37.40913891
14,7,Pinneberg,901,2002,0,1,46.35300827,41.55411911,41.02289581,35.5008049,1.032732844,1.186860561,-3.359931946,44.91405106,0.424504995,23.10000038,31.79999924
15,8,Segeberg - Stormarn-Nord,901,1998,0,0,47.35911179,44.18468857,43.4902153,36.71199036,1.166013718,1.473722458,NA,NA,0.177485347,18.90230071,38.06905241
16,8,Segeberg - Stormarn-Nord,901,2002,0,1,46.72761917,41.18174362,40.48888016,36.66514587,1.060585737,1.268146038,-3.002944946,44.18468857,0.211817071,20.89999962,35
17,9,Ostholstein,901,1998,0,0,48.00237274,44.90540695,45.23642731,37.90455627,0,1.17363143,NA,NA,0.138036788,24.4653884,30.22126884
18,9,Ostholstein,901,2002,0,1,48.53570557,43.98628616,40.99736786,38.24720764,0.92123282,0.954251647,-0.919120789,44.90540695,0.140541568,26.39999962,27.60000038
19,10,Herzogtum Lauenburg - Stormarn-SŸd,901,1998,0,0,46.90274048,42.70467377,43.01361847,37.014534,1.026459455,1.462752461,NA,NA,0.194646478,21.45851934,42.62216834
20,10,Herzogtum Lauenburg - Stormarn-SŸd,901,2002,1,1,46.10399246,39.98707199,42.30618286,37.71941376,1.020180702,1.149193883,-2.717601776,42.70467377,0.211049542,23.39999962,38.70000076
21,11,LŸbeck,901,1998,0,0,51.16289139,47.84991455,37.52017212,32.84635925,1.34397614,1.797783613,NA,NA,0.670332193,24.48186126,32.68530529
22,11,LŸbeck,901,2002,0,1,50.84426498,47.646595,34.61549759,31.75899315,1.898481488,1.605046511,-0.20331955,47.84991455,0.609573901,26.60000038,26.70000076
23,12,Wismar - Nordwestmecklenburg - Parchim,913,1998,0,0,41.05730057,38.58291626,30.61112976,27.84447098,22.31155396,21.95586014,NA,NA,0.070433214,18.77454924,35.2331565
24,12,Wismar - Nordwestmecklenburg - Parchim,913,2002,0,1,47.40122986,45.60196304,30.18407249,28.38947678,14.8103056,14.24392891,7.019046783,38.58291626,0.063467696,21.20000076,33.5
25,13,Schwerin - Ludwigslust,913,1998,0,0,40.87676239,39.37619781,26.32366943,25.09906578,25.55352211,24.53849983,NA,NA,0.079803661,18.98467444,32.23495682
26,13,Schwerin - Ludwigslust,913,2002,1,1,49.34353638,46.88455582,25.00742912,25.42150688,15.55249119,15.50210857,7.508358002,39.37619781,0.088522233,21.5,26.29999924
27,14,Rostock,913,1998,0,0,36.81067657,39.64035034,23.91836548,21.24180031,33.50224304,28.55136108,NA,NA,0.684844136,18.56724958,23.36170847
28,14,Rostock,913,2002,0,1,45.1680336,48.53024292,21.1819706,21.52594376,18.5375309,18.2130394,8.889892578,39.64035034,0.6299119,22.89999962,18.60000038
29,15,Stralsund - Nordvorpommern - RŸgen,913,1998,0,0,31.98293686,31.01594543,36.95947647,33.47700119,22.97095871,22.51834488,NA,NA,0.081771106,19.94665868,30.02681419
30,15,Stralsund - Nordvorpommern - RŸgen,913,2002,0,1,34.7846756,36.15428925,41.62416458,36.30607605,16.0375042,16.30369186,5.138343811,31.01594543,0.08254227,22.70000076,22.89999962
31,16,Greifswald - Demmin - Ostvorpommern,913,1998,0,0,31.69855499,29.17028618,38.88667297,36.27448654,22.93074989,22.04932976,NA,NA,0.074920148,19.32681567,31.03883949
32,16,Greifswald - Demmin - Ostvorpommern,913,2002,0,1,37.24176788,34.8550415,38.05465317,37.23040009,15.60297489,16.13092804,5.684755325,29.17028618,0.068358339,22.10000038,25.70000076
33,17,Bad Doberan - GŸstrow - MŸritz,913,1998,0,0,40.01859665,36.8923111,31.36609268,28.83659363,22.70860481,22.80166435,NA,NA,0.065165274,18.38670334,33.66385238
34,17,Bad Doberan - GŸstrow - MŸritz,913,2002,0,1,44.51453018,42.1932869,30.66539383,30.20536804,15.16918278,15.66940975,5.3009758,36.8923111,0.058211707,20.39999962,28.29999924
35,18,Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow,913,1998,0,0,34.99689484,33.24118805,33.76965332,30.54760742,25.44574738,24.20461273,NA,NA,0.052491773,18.93853449,28.55810921
36,18,Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow,913,2002,0,1,37.7782402,38.25621796,32.17519379,31.46035767,19.88695908,18.88050652,5.015029907,33.24118805,0.067814641,21.10000038,22.89999962
37,19,Hamburg-Mitte,902,1998,0,0,53.30745697,49.93679047,28.38541031,25.13391304,1.911249161,2.854495049,NA,NA,2.477387905,22.46534989,23.79770941
38,19,Hamburg-Mitte,902,2002,0,1,54.12983704,45.89411163,26.49524879,23.03963661,2.053143501,2.752552271,-4.042678833,49.93679047,2.95028758,23.39999962,20.70000076
39,20,Hamburg-Altona,902,1998,0,0,48.07878876,41.10766602,36.60483551,30.49180222,0,2.798700333,NA,NA,3.49598527,22.46534971,23.79771051
40,20,Hamburg-Altona,902,2002,0,1,49.41220474,37.96736526,31.80560684,27.87242508,2.045875788,2.928919315,-3.140300751,41.10766602,3.485946655,23.39999962,20.70000076
41,21,Hamburg-EimsbŸttel,902,1998,0,0,50.02147675,43.84136963,33.44060898,28.51203728,0,2.63844347,NA,NA,4.571640015,22.46535,23.79771004
42,21,Hamburg-EimsbŸttel,902,2002,0,1,51.30351639,40.46355057,29.99445724,25.89349365,1.798843026,2.327194691,-3.377819061,43.84136963,4.617799282,23.39999962,20.70000076
43,22,Hamburg-Nord,902,1998,0,0,47.13082123,41.30770111,39.42455292,32.61808014,0,2.024303675,NA,NA,2.289908886,22.46534921,23.79771125
44,22,Hamburg-Nord,902,2002,0,1,48.44525909,38.44810867,35.95037079,30.80701828,1.161239028,1.624101043,-2.859592438,41.30770111,2.301283836,23.39999962,20.70000076
45,23,Hamburg-Wandsbek,902,1998,0,0,51.5536499,47.89921188,35.76559067,31.47960663,1.232162952,1.867828131,NA,NA,2.981351614,22.46534881,23.79771044
46,23,Hamburg-Wandsbek,902,2002,0,1,53.0340538,43.81948853,34.48620605,29.96602631,1.137808561,1.500255466,-4.079723358,47.89921188,3.201330423,23.39999962,20.70000076
47,24,Hamburg-Bergedorf - Harburg,902,1998,0,0,52.44635773,48.77975082,36.55261993,32.06592941,0.858476579,1.821758747,NA,NA,1.354167342,22.4653503,23.79771006
48,24,Hamburg-Bergedorf - Harburg,902,2002,0,1,52.95108032,44.33928299,36.00303268,30.96549606,1.420661211,1.592029452,-4.440467834,48.77975082,1.063619375,23.39999962,20.70000076
49,25,Aurich - Emden,903,1998,0,0,59.63644409,61.56533432,29.06269073,25.81837845,1.03766048,0.945287466,NA,NA,0.165947661,21.17818896,39.56347835
50,25,Aurich - Emden,903,2002,0,1,61.4053421,61.70674133,25.47052193,24.01314735,1.386659265,0.956592321,0.141407013,61.56533432,0.168925941,22.70000076,37.70000076
51,26,Unterems,903,1998,0,0,43.84030914,46.6658783,49.43669128,40.55571747,0.94091481,0.732093275,NA,NA,0.111999542,20.61956931,41.77208299
52,26,Unterems,903,2002,0,1,42.47160339,44.73637772,47.3921814,41.68154526,0.847101092,0.755630374,-1.92950058,46.6658783,0.114845857,21.89999962,40.20000076
53,27,Friesland - Wilhelmshaven,903,1998,0,0,53.99982834,54.10482407,34.42346573,31.08979416,1.007442236,0.927750647,NA,NA,0.198151678,22.0763504,28.13306539
54,27,Friesland - Wilhelmshaven,903,2002,0,1,54.81520844,52.02500916,32.1387558,30.66594315,1.364058852,1.034248471,-2.079814911,54.10482407,0.175823703,24.60000038,26.79999924
55,28,Oldenburg - Ammerland,903,1998,0,0,50.59460831,48.98532486,35.12011337,29.37271309,1.520203352,1.589800954,NA,NA,0.271670073,20.5238017,30.33292103
56,28,Oldenburg - Ammerland,903,2002,0,1,47.13215637,48.35009384,33.32265472,28.11281395,1.603922486,1.585530281,-0.635231018,48.98532486,0.316063344,21.89999962,24.60000038
57,29,Delmenhorst - Wesermarsch - Oldenburg-Land,903,1998,0,0,54.96774292,54.04738235,32.97414017,29.50725174,1.060189605,0.993760407,NA,NA,0.147118151,20.40888913,45.46353044
58,29,Delmenhorst - Wesermarsch - Oldenburg-Land,903,2002,0,1,53.76890182,51.38743591,30.86601448,29.98704338,1.242161274,1.021811962,-2.659946442,54.04738235,0.148900017,22.20000076,38.5
59,30,Cuxhaven - Osterholz,903,1998,0,0,54.53779221,51.86229324,35.52017593,31.26991081,0.465003014,1.110861063,NA,NA,0.118387006,21.74858386,37.03570138
60,30,Cuxhaven - Osterholz,903,2002,0,1,53.21440887,49.54741287,33.55480576,31.31282997,1.14941144,0.951654553,-2.314880371,51.86229324,0.131706074,23.89999962,30.70000076
61,31,Stade - Cuxhaven,903,1998,0,0,51.48276138,49.9417572,40.14740372,34.44194412,0.874741375,1.107942462,NA,NA,0.10435617,20.95836487,40.06627896
62,31,Stade - Cuxhaven,903,2002,0,1,52.26531601,46.32363129,41.05101395,35.41468811,1.166141272,0.994904339,-3.618125916,49.9417572,0.121023148,20.89999962,35.40000153
63,32,Mittelems,903,1998,0,0,40.96968079,40.23894501,53.27299881,47.36459351,0.716881752,0.506873071,NA,NA,0.122772731,18.71581066,46.12519259
64,32,Mittelems,903,2002,0,1,37.64157486,37.97541046,53.27685928,48.65761566,0.693423927,0.566505849,-2.263534546,40.23894501,0.12499065,20.29999924,41.79999924
65,33,Cloppenburg - Vechta,903,1998,0,0,30.41002083,29.88119125,61.86015701,58.84643173,0.594894528,0.469314992,NA,NA,0.117886476,17.19487997,51.95592886
66,33,Cloppenburg - Vechta,903,2002,0,1,28.1668396,28.13411903,62.208992,59.28117752,0.793875873,0.502260804,-1.74707222,29.88119125,0.122148916,18.39999962,49.79999924
67,34,Diepholz - Nienburg I,903,1998,0,0,48.41872406,49.51982498,38.45041656,32.1518898,0.928958118,0.989329457,NA,NA,0.11080464,21.93380523,39.574055
68,34,Diepholz - Nienburg I,903,2002,0,1,48.34350204,47.801754,37.34049225,33.05952454,0,0.935200214,-1.718070984,49.51982498,0.097090371,23.10000038,36.59999847
69,35,Rotenburg - Verden,903,1998,0,0,49.27264404,47.58854675,40.42539215,35.0325737,0.876774549,1.035200119,NA,NA,0.11407844,20.24392123,39.47748917
70,35,Rotenburg - Verden,903,2002,0,1,47.70551682,45.83593369,37.94391632,35.4433136,1.131860018,1.00324285,-1.752613068,47.58854675,0.102731116,21.29999924,36.40000153
71,36,Soltau-Fallingbostel - Winsen L.,903,1998,0,0,47.50733185,45.63650513,41.1216011,35.59323883,1.039272428,1.15346849,NA,NA,0.109305091,21.03966397,34.41631947
72,36,Soltau-Fallingbostel - Winsen L.,903,2002,0,1,47.09487915,42.95310211,40.52081299,36.16273499,1.062688351,0.978281558,-2.683403015,45.63650513,0.127193287,22.5,30.10000038
73,37,LŸchow-Dannenberg - LŸneburg,903,1998,0,0,48.28401947,44.85503006,39.12260437,34.60473251,1.295529246,1.634911299,NA,NA,0.094993308,21.75977011,36.62376279
74,37,LŸchow-Dannenberg - LŸneburg,903,2002,1,1,46.75658035,43.55439377,36.82126236,33.7109642,1.321740746,1.582084179,-1.300636292,44.85503006,0.085410289,23.5,31.5
75,38,OsnabrŸck-Land,903,1998,0,0,45.49211121,44.4605217,45.91812897,40.56732941,0.669190288,0.6800282,NA,NA,0.13092117,19.23597043,52.79838097
76,38,OsnabrŸck-Land,903,2002,0,1,43.10173035,41.02898026,45.60237885,42.72847366,0.859617352,0.709841728,-3.431541443,44.4605217,0.135041565,20.39999962,48
77,39,Stadt OsnabrŸck,903,1998,0,0,47.82154083,44.99652863,42.12840652,36.45926285,0.961592674,1.008136392,NA,NA,0.797807693,22.40058044,33.83287821
78,39,Stadt OsnabrŸck,903,2002,0,1,45.68989563,43.42679214,38.75682831,36.72832108,0.986168921,0.943016648,-1.569736481,44.99652863,0.791229427,23.79999924,32.40000153
79,40,Nienburg II - Schaumburg,903,1998,0,0,52.15235519,52.91576385,38.21548462,32.39060211,0.803404927,0.803282499,NA,NA,0.13833192,23.32013084,45.50852688
80,40,Nienburg II - Schaumburg,903,2002,0,1,53.87455368,51.32234192,37.19015884,33.60054779,0,0.880300522,-1.593421936,52.91576385,0.16484645,24.79999924,39.79999924
81,41,Stadt Hannover I,903,1998,0,0,54.55310822,50.59813309,33.09635544,28.73013687,1.196389675,1.253794193,NA,NA,2.358738661,23.57829145,27.14810867
82,41,Stadt Hannover I,903,2002,0,1,55.48122406,50.89994049,30.48967743,28.00818062,1.302002668,1.384525657,0.301807404,50.59813309,2.310860872,24.60000038,23.29999924
83,42,Stadt Hannover II,903,1998,0,0,53.58588791,48.94592285,32.78536987,27.68039131,1.42389822,1.677869439,NA,NA,2.706487656,23.57829017,27.14810974
84,42,Stadt Hannover II,903,2002,0,1,56.30221939,49.87210464,28.6169014,26.1733799,1.551530838,2.078975677,0.926181793,48.94592285,2.679269075,24.60000038,23.29999924
85,43,Hannover-Land I,903,1998,0,0,52.71325684,51.00524521,38.76974106,32.65683365,0.812253833,0.80324465,NA,NA,0.256971031,21.42515879,35.41277422
86,43,Hannover-Land I,903,2002,0,1,52.75042725,49.79302597,35.69026184,32.84445572,0.851862311,0.833213806,-1.212219238,51.00524521,0.264923692,23.60000038,31.39999962
87,44,Celle - Uelzen,903,1998,0,0,48.59749222,44.85056686,41.74800491,37.61593246,0.795216322,0.929700196,NA,NA,0.091662101,23.70885984,35.18709188
88,44,Celle - Uelzen,903,2002,0,1,50.0753212,44.32964706,39.86982727,38.18678665,0.987046838,0.982718349,-0.5209198,44.85056686,0.092586309,25.10000038,29.89999962
89,45,Gifhorn - Peine,903,1998,0,0,53.39286423,52.75670242,37.96976089,32.89336014,0.668138564,0.717813492,NA,NA,0.139183879,20.23120023,44.44386906
90,45,Gifhorn - Peine,903,2002,0,1,54.24856567,51.45504379,36.82687759,33.59802628,0.861785173,0.811368406,-1.30165863,52.75670242,0.153187767,21.39999962,40.20000076
91,46,Hameln-Pyrmont - Holzminden,903,1998,0,0,56.1245575,53.68823242,36.05374527,31.36762047,1.327993512,0.95252955,NA,NA,0.157546759,25.98256159,44.49927407
92,46,Hameln-Pyrmont - Holzminden,903,2002,0,1,51.4800148,51.46128464,35.43811798,32.94211197,1.187811613,0.929408908,-2.226947784,53.68823242,0.146570951,27.39999962,39.5
93,47,Hannover-Land II,903,1998,0,0,55.66714859,53.30571365,35.59137726,30.94347382,0.80164206,0.79249692,NA,NA,0.312772006,21.42515943,37.76198782
94,47,Hannover-Land II,903,2002,0,1,54.15139008,51.99918747,33.54715347,30.86253357,0.878566146,0.867110848,-1.306526184,53.30571365,0.312904358,23.60000038,31.79999924
95,48,Hildesheim,903,1998,0,0,54.2964325,53.11156082,36.64710236,32.04460526,0.80226624,0.866450846,NA,NA,0.243300661,23.62392077,42.78657944
96,48,Hildesheim,903,2002,0,1,53.5124054,51.4828186,34.96236038,32.98991394,0.864176154,0.866281867,-1.628742218,53.11156082,0.24291034,25,39.59999847
97,49,Salzgitter - WolfenbŸttel,903,1998,0,0,58.37067795,55.12343216,34.55541611,32.02129745,0.803703547,0.876024008,NA,NA,0.234222054,23.66932639,51.85211846
98,49,Salzgitter - WolfenbŸttel,903,2002,0,1,56.78166199,53.05006027,34.04750061,32.40508652,0.943779111,0.918376625,-2.073371887,55.12343216,0.235066399,24.60000038,50
99,50,Braunschweig,903,1998,0,0,55.79190063,50.11943054,33.75757217,30.3529892,1.039474607,1.281532764,NA,NA,1.293382406,24.15566053,30.49428052
100,50,Braunschweig,903,2002,0,1,54.10038376,49.73505402,34.03171158,29.79200745,1.528932571,1.621233106,-0.384376526,50.11943054,1.267547607,25.60000038,28.20000076
101,51,Helmstedt - Wolfsburg,903,1998,0,0,52.79080963,51.84692001,39.24076462,34.42641068,0.915829659,0.802369952,NA,NA,0.22781083,23.50886201,64.26100685
102,51,Helmstedt - Wolfsburg,903,2002,0,1,53.50518799,52.5111618,36.79174042,33.88298035,0.942775428,0.852204382,0.664241791,51.84692001,0.211394131,26.10000038,61
103,52,Goslar - Northeim - Osterode,903,1998,0,0,54.03271866,52.57229233,35.99563599,32.25941849,1.040854216,1.049732089,NA,NA,0.139940485,26.42950499,45.11758437
104,52,Goslar - Northeim - Osterode,903,2002,0,1,52.40118408,50.92901611,35.65221786,33.66600418,1.169517875,1.083056927,-1.643276215,52.57229233,0.13654761,28,40.40000153
105,53,Gšttingen,903,1998,0,0,49.03499222,47.95606613,39.1266861,31.18839264,1.376415372,1.673638105,NA,NA,0.227409407,20.3689662,32.95434717
106,53,Gšttingen,903,2002,0,1,47.40747452,46.24214935,35.77940369,32.54870224,1.464897871,1.722976565,-1.713916779,47.95606613,0.238570452,21.20000076,30.39999962
107,54,Bremen I,904,1998,0,0,51.53325653,45.71549225,30.45348167,26.85617256,2.080266476,2.628496885,NA,NA,1.765087962,23.53659889,32.26570099
108,54,Bremen I,904,2002,0,1,51.36658478,44.91864014,27.12496567,25.54441452,2.032357454,2.450362206,-0.796852112,45.71549225,2.150222778,25.10000038,29.89999962
109,55,Bremen II - Bremerhaven,904,1998,0,0,59.28346634,55.0290184,26.74616623,23.89876175,2.09218049,2.246219635,NA,NA,1.533798456,23.49657026,32.26569979
110,55,Bremen II - Bremerhaven,904,2002,0,1,58.0402832,52.64996338,24.32522011,23.46998405,1.687721014,1.994645,-2.379055023,55.0290184,1.249183774,25.29999924,26.29999924
111,56,Prignitz - Ostprignitz-Ruppin - Havelland I,912,1998,0,0,52.57790756,47.2686882,22.96504593,21.84069824,16.60074043,17.23556328,NA,NA,0.050672259,20.67133242,34.01727005
112,56,Prignitz - Ostprignitz-Ruppin - Havelland I,912,2002,0,1,48.20468903,49.47421646,23.18583488,22.69964218,16.57334328,15.58613205,2.205528259,47.2686882,0.043819554,23.20000076,29.79999924
113,57,Uckermark - Barnim I,912,1998,0,0,51.83784485,45.5676384,20.22105789,19.63962555,20.16796684,21.30574799,NA,NA,0.058814261,19.03903191,34.40631843
114,57,Uckermark - Barnim I,912,2002,0,1,49.30160522,48.57074356,21.36421585,20.6757946,20.49453354,18.61558151,3.003105164,45.5676384,0.058733836,21.89999962,28.20000076
115,58,Oberhavel - Havelland II,912,1998,0,0,50.30998611,45.4592514,22.16864395,19.59028435,17.78543091,18.3387661,NA,NA,0.093323886,19.78915143,40.23927205
116,58,Oberhavel - Havelland II,912,2002,0,1,45.02250671,45.08761978,24.29348946,23.39037895,17.90061951,14.26835346,-0.371631622,45.4592514,0.108713068,21.60000038,34.09999847
117,59,MŠrkisch-Oderland - Barnim II,912,1998,0,0,48.75762939,41.09579468,9.668679237,20.31699371,26.0106678,23.10874367,NA,NA,0.093795933,19.61471633,32.94213542
118,59,MŠrkisch-Oderland - Barnim II,912,2002,0,1,42.88427734,43.34486389,21.03674126,21.04674721,24.72079468,20.71371269,2.249069214,41.09579468,0.099835441,21.39999962,28
119,60,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-FlŠming I,912,1998,0,0,48.22171021,46.3690834,20.91383171,19.60660934,19.98519516,19.23441124,NA,NA,0.094176769,20.76314924,32.61762571
120,60,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-FlŠming I,912,2002,0,1,46.37670898,47.99037933,23.42497826,22.31435204,18.7066021,16.35546494,1.621295929,46.3690834,0.074423097,25.20000076,32.29999924
121,61,Potsdam - Potsdam-Mittelmark II - Teltow-FlŠming II,912,1998,0,0,42.55561447,43.18890381,18.03926849,17.21121979,28.83957863,23.74182129,NA,NA,0.226910114,19.77524107,23.95135111
122,61,Potsdam - Potsdam-Mittelmark II - Teltow-FlŠming II,912,2002,0,1,41.78636551,44.92301178,22.0483284,19.94480515,25.22076035,18.24561119,1.734107971,43.18890381,0.362384528,21.39999962,19.89999962
123,62,Dahme-Spreewald - Teltow-FlŠming III - Oberspreewald-Lausitz I,912,1998,0,0,48.92086411,44.24913406,22.21135139,20.65203476,18.96786499,19.21512032,NA,NA,0.07572224,20.8133674,37.79705269
124,62,Dahme-Spreewald - Teltow-FlŠming III - Oberspreewald-Lausitz I,912,2002,0,1,48.25810242,46.36021042,23.67932129,22.59263992,19.60677528,17.00421715,2.111076355,44.24913406,0.065985754,22.39999962,29.20000076
125,63,Frankfurt (Oder) - Oder-Spree,912,1998,0,0,47.23722458,42.89962769,15.79639626,21.00091171,23.23487663,20.83304596,NA,NA,0.104671896,19.28913516,32.93425979
126,63,Frankfurt (Oder) - Oder-Spree,912,2002,0,1,43.87221527,45.48884201,22.05676651,21.86359787,21.8769207,18.91599083,2.589214325,42.89962769,0.112104401,21.70000076,29.39999962
127,64,Cottbus - Spree-Nei§e,912,1998,0,0,43.63767242,41.13587189,23.53649902,22.37327194,20.19890404,20.89704514,NA,NA,0.152838856,19.42476994,33.27992129
128,64,Cottbus - Spree-Nei§e,912,2002,0,1,43.39001846,48.65938568,23.02412415,22.51842499,20.15097809,16.55701447,7.523513794,41.13587189,0.145886496,21.79999924,29.5
129,65,Elbe-Elster - Oberspreewald-Lausitz II,912,1998,0,0,43.89707565,38.92102432,29.14826012,25.81739426,17.72471619,18.35672951,NA,NA,0.081257753,21.50757053,46.76552459
130,65,Elbe-Elster - Oberspreewald-Lausitz II,912,2002,1,1,44.49761581,45.76504517,27.94287491,26.05687332,18.64081955,15.70046711,6.844020844,38.92102432,0.087475933,24.20000076,37.20000076
131,66,Altmark,915,1998,0,0,44.79389954,40.00976563,28.26739311,25.90837479,20.70297813,20.72257423,NA,NA,0.05704188,20.12786196,32.96720856
132,66,Altmark,915,2002,1,1,45.17834473,45.60790253,30.73849297,27.96375656,14.6871748,13.88214493,5.598136902,40.00976563,0.051654801,22.5,29.29999924
133,67,Elbe-Havel-Gebiet,915,1998,0,0,42.36124802,38.33094025,31.67468262,27.8798008,18.50968361,19.88471794,NA,NA,0.072388031,20.75296288,41.49039126
134,67,Elbe-Havel-Gebiet,915,2002,1,1,45.1306839,43.52114868,32.4301033,30.16566277,12.99435329,13.07567787,5.190208435,38.33094025,0.073295072,22.70000076,39.70000076
135,68,Harz,915,1998,0,0,45.04603958,39.67638397,30.25440788,28.47097206,18.27596092,18.8218174,NA,NA,0.129033908,22.57877156,34.21469633
136,68,Harz,915,2002,0,1,44.9378891,44.84742737,29.71953392,29.02519608,13.41309834,12.7812748,5.171043396,39.67638397,0.127900735,24.79999924,30.70000076
137,69,Magdeburg,915,1998,0,0,45.53767776,40.04655838,24.25718117,22.12543488,22.25040436,24.01268387,NA,NA,1.047894478,21.57341276,32.48517895
138,69,Magdeburg,915,2002,1,1,47.67238998,46.34063339,26.4547081,23.76325798,15.57239342,15.40175247,6.294075012,40.04655838,1.211519599,24.89999962,18.39999962
139,70,Bšrde,915,1998,0,0,44.11545944,39.70951843,31.07546234,27.78210068,18.57735252,19.7819519,NA,NA,0.162344202,22.51151697,33.05765256
140,70,Bšrde,915,2002,0,1,45.17861938,44.62321854,32.46378708,30.40519714,14.87628365,13.41132259,4.913700104,39.70951843,0.131212175,24.39999962,35.29999924
141,71,Anhalt,915,1998,0,0,39.77004242,37.47331619,31.95055199,27.94187927,19.65963364,20.20807838,NA,NA,0.125398725,21.7062194,35.98412306
142,71,Anhalt,915,2002,1,1,40.34576797,42.88931656,33.24768448,29.74773407,16.18576431,14.46744156,5.416000366,37.47331619,0.134894714,24.60000038,30.5
143,72,Bernburg - Bitterfeld - Saalkreis,915,1998,0,0,40.32345581,36.15844345,32.83082199,29.44781113,18.65265846,19.55409813,NA,NA,0.226576105,22.08850913,34.37561823
